"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RUNX1",1659.53208355627,5.60021949039184,0.236725395658997,23.6570287475999,9.99231626409924e-124,2.79399609466524e-121
"PTRF",10342.6713961982,4.71524061636963,0.199556204929728,23.6286344392551,1.95766001789043e-123,5.40873496371441e-121
"ARHGEF26",2301.8811422182,-4.75752844852409,0.201367796884043,-23.6260639592918,2.08046603840985e-123,5.68040656699009e-121
"CAV2",4997.45314536669,9.08952979209501,0.384891874053366,23.6158007088368,2.6523669352905e-123,7.15768974816534e-121
"S100A2",84160.776576404,12.4595525079413,0.52895419957117,23.5550686960088,1.11385175652304e-122,2.97129558222835e-120
"FOSL1",4197.50050082329,9.59765143982165,0.407593906666239,23.5470925419912,1.34448167914792e-122,3.54576486473464e-120
"ARHGEF28",1644.55884987709,5.52799258310915,0.235335152699732,23.4898718686639,5.17674379985014e-122,1.34990865288676e-119
"GTF2H2",3157.40141193573,-3.72539572991626,0.159308152984108,-23.3848403872205,6.09651074814355e-121,1.57208690492128e-118
"FHOD3",1464.01666848453,5.41486355463468,0.231680206278603,23.3721457763341,8.2074190429401e-121,2.09316243020389e-118
"SMAD3",2467.55841397747,4.60910051009356,0.197471295849342,23.3406100378761,1.71662358840934e-120,4.33036959128304e-118
"CERCAM",1340.60582353829,7.34928393089245,0.315797776225633,23.272120591633,8.49542110294718e-120,2.12001863394837e-117
"PHLDB1",2301.03767226736,3.22378847787542,0.138573389499931,23.2641237217988,1.0236317074565e-119,2.527281347516e-117
"MCAM",2899.26027037762,10.2576682124949,0.441156787543334,23.2517519896196,1.36564625917349e-119,3.33620193504193e-117
"RAC2",2749.46341190131,10.1912439467971,0.438323429329419,23.2505115284127,1.40568263851788e-119,3.39823777861698e-117
"ARRB1",543.151642505889,-6.32696893727953,0.27268703620575,-23.2023092308123,4.3152579114111e-119,1.03245882070133e-116
"TSPAN1",4757.29661623025,3.34421512519227,0.144480779970732,23.1464359887156,1.57901530732458e-118,3.73936604616212e-116
"TMEM40",2707.45288553194,9.84956935766083,0.426074734361629,23.1169993508722,3.12360967046247e-118,7.32249830627201e-116
"SQRDL",4418.52332158993,3.2619626209428,0.141129498000626,23.1132588661821,3.40625104056175e-118,7.90522741493572e-116
"CAPG",2702.45957702872,7.04519091029918,0.305186690544674,23.0848563471934,6.57259503777672e-118,1.51026520432398e-115
"PLSCR1",595.86033686834,4.86254810163698,0.211713342887994,22.9676034363573,9.82852872977759e-117,2.23627936039881e-114
